supplysector,subsector,supplysector_disaggregated
FoodDemand_Staples,Corn,FoodDemand_Staples
FoodDemand_Staples,OtherGrain,FoodDemand_Staples
FoodDemand_Staples,Rice,FoodDemand_Staples
FoodDemand_Staples,RootTuber,FoodDemand_Staples
FoodDemand_Staples,Wheat,FoodDemand_Staples
FoodDemand_NonStaples,FiberCrop,FoodDemand_NonStaples_Oils
FoodDemand_NonStaples,MiscCrop,FoodDemand_NonStaples_OtherCrop
FoodDemand_NonStaples,Fruits,FoodDemand_NonStaples_FruitsVeg
FoodDemand_NonStaples,Legumes,FoodDemand_NonStaples_PlantProtein
FoodDemand_NonStaples,NutsSeeds,FoodDemand_NonStaples_PlantProtein
FoodDemand_NonStaples,OilCrop,FoodDemand_NonStaples_Oils
FoodDemand_NonStaples,OilPalm,FoodDemand_NonStaples_Oils
FoodDemand_NonStaples,Soybean,FoodDemand_NonStaples_Oils
FoodDemand_NonStaples,SugarCrop,FoodDemand_NonStaples_Sugar
FoodDemand_NonStaples,Vegetables,FoodDemand_NonStaples_FruitsVeg
FoodDemand_NonStaples,Beef,FoodDemand_NonStaples_Ruminant
FoodDemand_NonStaples,Dairy,FoodDemand_NonStaples_Dairy
FoodDemand_NonStaples,Pork,FoodDemand_NonStaples_Ruminant
FoodDemand_NonStaples,Poultry,FoodDemand_NonStaples_NonRuminant
FoodDemand_NonStaples,SheepGoat,FoodDemand_NonStaples_NonRuminant
FoodDemand_NonStaples,OtherMeat_Fish,FoodDemand_NonStaples_Fish
